,sentiment,text
74,positive,@VirginAmerica Congrats VX on the new route! ✈️🎉
75,neutral,Animal Testing in 60 Seconds Flat https://t.co/ylxJ9nKjOr via @YouTube 😔
76,neutral,@ms_tlovee It was devastating to see the way he looked at his mother. 😓 And all the traditions they've kept to remember Jack...😩 #ThisIsUs
77,positive,I got so much fan's on here! Y'all and vixx keep me smiling ❤❤❤
78,neutral,"@JetBlue Im just saying change can be amazing, like Miami. 😉"
79,negative,IF #BlackLivesMatter isn't  IMPORTANT  than neither is #BLACKDollars... 💯 https://t.co/YJFsDqfSu5
80,neutral,“@JetBlue: Our fleet's on fleek. http://t.co/MB0hVfqB1t”-see what ihop started 😑
81,neutral,@DrewSmith_33 He always said he wanted to repeal Obamacare I don't get why 20 million of his voters might have went against best interest. 🙄
82,positive,@SouthwestAir you guys are so amazing for sending people to meet Imagine Dragons #DestinationDragons 😋
83,positive,Clinton Supporters Place Signs of Support on Her Street on Thanksgiving - ABC News - https://t.co/p7xJieb5Ky via @ABC #StillWithHer ❤️👍❤️👍🇺🇸
84,negative,@del_krushnic I knw you have a temper paaa lol just chill dear don't be pissed waii or I will else worry u saaa but I'm sorry 😫
85,negative,RT @cappy_yarbrough: Love to see men who will never be faced with a pregnancy talk about what I can do with my body ❤️❤️❤️❤️ #GOPDebate
86,neutral,"@JetBlue don't worry, I'm gonna share with my row! 😁"
87,negative,"RT @tinaissa: I think Megyn Kellly won this debate. 😂😂😂
#GOPDebate"
88,neutral,Y'all. I just watched two David Blaine specials on Netflix. I. Don't. It's real. It's all real. I don't understand. It's. Wut. Sum1. Halp.☠️
89,positive,🤔🤔🤔 younger is better!!! #toyboy #onedirection https://t.co/Q1etgfqOHR
90,negative,"Muhammad Ali 😂.. it's time to go to sleep ,Bitch ! @thegal_lele"
91,positive,@JetBlue thanks so much!! ❤️✨ very relaxing flight!
92,positive,@JetBlue is the greatest airline ever 💕✈️💺 #TrueBluePoints #jetbluemember
93,positive,Happy #NationalFastFoodDay 😃😂💟🌭🍟🍔🍕🍔
94,negative,@RobertTaitWHU against Chelsea anything is possible haha. I'm fuming about that bet 🙄🙄🙄🙄🙄🙄
95,neutral,@VirginAmerica can u help this 👸 @FreyaBevan_Fund needs urgent treatment in🇺🇸2y old battling cancer could u help with flights 💗#freyasfund
96,negative,With the amount of the 'G' word I'm seeing on my TL in regards to the #GOPDebates it's obvious the Evangelicals got 'em by the balls!!? 😊
97,positive,@USAirways right on. Up. Up &amp; away ✈️🌞
98,neutral,@SouthwestAir Do you promise to not unfollow me? 😉
99,neutral,"@KrnGrwl ""Dopey"" 'coz of her RNC speech; the ""escort"" story was retracted, but there's still ample proof otherwise👇https://t.co/kR336MvLyR"
100,positive,#DefiningBeauty @britishmuseum stunning celebration of the body in Ancient Greek #art. 5🌟- ends 2/7. 3min video👇 https://t.co/OTcdHNOLmg
101,neutral,😳 LOLOLOLOLOL “@JetBlue: Our fleet's on fleek. http://t.co/YXSwFq9tGP”
102,positive,@JackAndJack I'm so lively for listen💗😀
103,negative,I feel like Michelle Obama when Melania stoled her speech 😭😂😂
104,positive,@JetBlue you're welcome 👍👍👍 http://t.co/67k4N9eQ6E
105,positive,Louie 😍♥ #onedirection  #MPN & #MtvStarsNiallHoran https://t.co/pIbny1ujJL
106,positive,@FUTWIZDan wuou Great Pack Cristiano Ronaldo in a pack is lucky 🍀
107,positive,Watched @ricky_martin interview on the @TheEllenShow show. He's such a amazing human being and so grounded. He's demeanour moved me😢
108,negative,When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us 😭😭 @__KirstyGA #raging #oldcunt
109,positive,When a legend speaks about another Legend ❤ #Gerrard #Messi #FCBLive https://t.co/lDsWMBlNuc
110,positive,"I love showing off in @NationalGallery when friends can't see Holbein's skull in The Ambassadors, 'you just need to stand there' 💀"
111,negative,@vasanna11 @1911G_fan @Kiffrowlski Nobody* If you're going to be a school nazi then practice what you preach dipshit. 😂
112,positive,When Donald Trump calls out Rosie ODonald 👌🏼😂 #GOPdebates
113,negative,why did I choose animal testing as my speech topic I am crying looking at these images 😭
114,negative,and I'll be making 160k as a corporate lawyer while ur still living in a crummy town making minimum wage 😊
115,negative,@mizzymaxx @Bsmarz22 @ssmik2309 haha Bro she's sadly married man 😩😩
116,positive,guess whom @theashleygraham is obsessed with right now😊🙏🏼❤️️#AshleyGraham #plussizefashion https://t.co/kg7jnGS4l3
117,neutral,@SmittyDaDon3 ain't that how y'all got Tim Duncan? 🤔
118,positive,#Microsoft joins #Linux foundation.#Google joins .NET foundation.You see that it is #Christmas in the air... 🎄🎉🎁
119,negative,I miss my baby girl so much. Today was a hard day. 😭🐾🐾❤️ #Grief #dogmom #euthanasia #cushingsdisease #heartbroken… https://t.co/ndJptRPqiT
120,positive,"@DorH84607784 Oh FANTASTIC, I bet it was super exhilarating  🤗😍"
121,positive,Cinema tonight to watch @BeastsMovieUK 😄😄 in the mean time reading a book about free software licensing… https://t.co/Tm9DSdWWgh
122,negative,When you just don't know where to go or what to do next.. in life..🤔 #lost
123,negative,Hopeful this day goes by quick. 😏 #NationalFastFoodDay
124,positive,"Well , ....... 😁💛#onedirection #directioner https://t.co/uZxs7pXykl"
125,neutral,"That's incorrect I do, no one gets to clock out today.. #TheWalkingDead 😆"
126,positive,Only I could be talking to a catfish on tinder 💁😂 glad I don't use it seriously 🤣
127,negative,Just paid for chicken at @panerabread and didn't even get any 😑😑😑 there goes 4 dollars and me as a customer 
128,negative,Skydive booked 😁😁 #nervous 🛩
129,positive,It's definitely Christmas season! My social media news feeds have been all about #Hatchimals since midnight! Good luck parents! 🎄#santagot1
130,negative,This was me and my crew after the debates last night 😂😂 #GOPDebates #Republicans #Democrats #Trump… https://t.co/gXki90c6vS
131,negative,@Tipp_ThaRealist I was worried if you were gonna fed him or not 😂
132,negative,@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer 😡 #fuming
133,negative,@united Bos-SF was in between waivers. Business Cancelled Flighted due to weather before/after. No flexibility/compassion in extreme circumstances = 😔
134,negative,"@groovydadad @MHChat 🙂ty I often conflate the two depression + sadness, but they are very different. This q reminded me of that #mhchat"
135,negative,What I would give\nTo feel the sunlight on my face\nWhat I would give\nTo be lost in your embrace 🎧\n\n#Fallen
136,neutral,😩😂😂😂😂 “@JetBlue: Our fleet's on fleek. http://t.co/yco9dikpt9”
137,negative,@SouthwestAir Cancelled Flightled my flight out of BNA today. Been on hold for an hour. 😠 #frustrated!
138,negative,@AmericanAir delayed for two hours at ORD--&gt;CDG the one time I need to be there to catch a train... 😒
139,negative,"That heart pounding, goosebumping nightmare experience! 😨 Woke up 3:00 in the morning with that scary, bad dream of mine. 😰"
140,negative,That's All! 😉 #FactCheck #GOPDebate http://t.co/jR7P3o5XhX
141,positive,@SouthwestAir @FortuneMagazine Love SW forever😃💕😍⤴⤴
142,positive,@JetBlue thank you very very much!! 💙💙
143,positive,I saw someone with Newt's scarf and I NEED IT #FantasticBeasts ❤
144,negative,@HMiglino @CParks777 @Coco_Wms @bodyfit67 @TruthEqualsFact @politicususa I have never been more anxious of a election in my life‼️ #fearful
145,positive,@PriiiincesssE thanks for distracting me from my paper to watch this hilarious video 😂
146,positive,Bruhhh🙄why is Ar'mon so cute from @TheRealAandT . He just chill and ughhhhh😍😍😍😍. #attractive #whyamIsingle #Houston
147,positive,#lmao 😂😂😂😂 #theface definitely me #mannequin #mannequinchallenge #goofy #stevebuscemi… https://t.co/Wm1DqMfTNi
148,negative,No respect for people who force their opinions on to others yet get offended when someone does the same to them 😂
149,neutral,When you're assigned to write a paper about the TPP but the president-elect isn't going to approve it anyways 🙄
150,neutral,#GOPDebates #DebateQuestionsWeWantToHear #debate God is in the business of those that seek him first and his righteousness! Simple 🎤
151,negative,2 applications for my dbs and still waiting. Been over a year now. Going to loose my job 👍🏿 @GOVUK  #thanks #unhappy #crb
152,neutral,"OMGee!!! @JetBlue #OnFleek Why @JetBlue Why?!? 😭😁😆😵 How many people even know what that means, lol?"
153,negative,@silverstein 13th time seeing you guys today and you cancel the meet and greet because of the storm. We're all soaked.. 😡 #dissapointed
154,negative,@OstinOng YUUUHH 🙄😭 plus clin ep and prevmed ugghhh hahaha #bitter
155,positive,Happy Thanksgiving!! 🍁 love you guys so much!  thankful for all your continued support and love ❤ what are you most… https://t.co/iEIHUn2J7K
156,negative,Why has #Cameron come out of the shadows now ?He's left the country up a creak & no paddle #PoliticalWally 👎🤓✔https://t.co/dvYaRG9HKW
157,neutral,RT @CBSLAElsa: One of our producers spied me in the newsroom indulging in tonight's #GOPDebate. He said I was his #newsnerd 👓 http://t.co/r…
158,positive,"Just got a gift via this cool virtual assistant @TryEvaBot. Wanna experience? Let me know, I can send you a gift🎁  #magical #delightful 😊"
159,positive,"Niall & Louis, the same shirts ♥#MPN #onedirection & #MtvStarsNiallHoran https://t.co/5IvOPqZ5r7"
160,neutral,What? Randall's heart was broken on Thanksgiving??? Why?!!! 😩😢😭 #ThisIsUs
161,positive,tipp hill is the best 🍀💚 https://t.co/BRC8wFychR
162,positive,@britishmuseum thanks a visit is on the cards 😊
163,negative,"When the sadness leaves you broken in your bed, I will hold you in the depths of your despair, and it's all in the name of love 🎶"
164,neutral,🇪🇸 #Barça #FCBlive (yesterday) #UEFAYouthLeague at https://t.co/vsTDcp85Rf
165,neutral,"RT @JMPoff: #RandPaul and the Church Lady are literally THE SAME PERSON

#GOPDebate

😏😏😏😏😏 http://t.co/YkdaIWpHrO"
166,negative,"@USAirways 
Not one to complain much but really 1 hour 15minutes and still nothing. Agents or Agent ⤵ http://t.co/Q5SB0DaVuy"
167,negative,feel really sad and down today😒
168,negative,"Imagine how many ksones are crying right now for not getting tickets 😭 Meanwhile, isones dont even get a chance to go on war for tickets 😭"
169,negative,@united Flt 4487 is having some MAJOR delays bc ground crew was so SLOW. The flight crew has been terrific. Been 2 hours on the ground..😡...
170,positive,😑Ellison swings at Trump in Thanksgiving tweets | TheHill https://t.co/5wxa7bcXBN
171,positive,RT @SalMasekela: Straight Outta Compton commercial on Fox News. Well played. 🙌🏿 #GOPDebates
172,negative,@JetBlue thanks but still annoying. Especially if I miss my flight. 😉 Can I tweet at the TSA??
173,positive,The irony and hilarity of making Taylor Lautner super cold all the time is not lost on me. God I missed this show 😂#ScreamQueens
174,positive,@USAirways YOU ARE THE BEST!!! FOLLOW ME PLEASE;)🙏🙏🙏✌️✌️✌️🙏🙏🙏
175,neutral,📸 | Iniesta with Youth of San Diego Football Centre. [@forca_fcb] #FCBlive https://t.co/49zFk63IDt
176,negative,Ive always wondered how long Angelina put up with Brad's crap. Not gon lie 😐 #bitter
177,negative,"Trump Supporters ❤️ To Attack Other Conservative Followers 😳
#GOPDebate"
178,neutral,When Kiria can't sleep guess who she keep up 🙇🏽‍♀️
179,negative,#Hillary and  #Obama armed and started #YemenFiles civil war for oil money.  .@wikileaks 👇🏼#DrainTheSwamp… https://t.co/o65SAxwg6n
180,positive,🏀Good practice and ready for tomorrow! @J_Doellman @Victor_Claver #fcblive https://t.co/OKAppYaQ20
181,negative,pressure does burst pipes 😭
182,negative,"One step forward, two steps backward, the link to RogerFedererShop doesn´t work.😰 I am losing hope about Roger Federer new Website #sadness"
183,neutral,#maybehisfoundation can pay his legal fees🙄🙄 #AuditTheVote #StillWithHer Donald Trump and the Lawsuit Presidency https://t.co/6L900hd1Ci
184,negative,My irritation level is at an all time high today 🙃
185,negative,First day of fall quarter tomorrow.  😰 #nervous #excited #anxious #blargh
186,positive,@SouthwestAir thanks for your assistance..you guys ROCK!!💯
187,negative,@MiSSLiNDZO no. 😭 the last two we were out-bidded. So we got kinda discouraged so now we are taking our sweet time. The market is stupid tho
188,negative,@omgitsbrittanyy @WittLowry u probably irritate the shit out of him always talking to him. He could probably give 2 shits about u lol 🖕🏻
189,positive,Ashley Graham is a vision in velvet at VH1 Divas Holiday bash 😍 https://t.co/k7kTamYp85 https://t.co/2JbfAxvWUk
190,positive,@sterlingkb1 I LOVE #THISISUS great show/concept 😊😊😊😊 you are a fantastic actor! #armywives #ThePeopleVsOJSimpson and now THIS 🙌⭐👌
191,positive,@burnaboy is the originator of the #MannequinChallenge in the  'Soke' music video. He was a whole year ahead!!! He deserves credit.❤️
192,positive,@beautifuIbaek Wow! I hope i win. 😭 thanks for this. 😊
193,neutral,@JetBlue but Virgin has wifi 👀
194,positive,@VirginAmerica got it squared away. Someone picked up as soon as I tweeted. Should have tweeted sooner. 😉
195,neutral,"@KatiePhang But Katie, Stein was so close to winning! A recount & I think she wins. 😊 Obviously, Dems got to her$$ like they got to Bernie."
196,positive,@ricky_martin I know you're busy but I just wanted to send you big hugs from Perth - we miss you lovely man! 💞💜
197,negative,#Twitter these days is just a massive critical debate on those that people don't like #annoying #depressing and #dull 😑
198,negative,I am about to be a coward and I feel terrible. But I can't even face this 😭
199,positive,@JetBlue thanks JB!! This is why I 💙 you!
200,negative,@realDonaldTrump - keep giving him the mike 💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨💨and he may blow himself right off the stage... #GOPDebates 👀
201,negative,.@JustinTrudeau @cafreeland @najatvb @poroshenko Crimea not so different from the Joan of Ark story @realDonaldTrump ⚽️👀👅☃💞
202,negative,😑😑😑&lt;---- that moment you finish a Netflix series and have nothing else to watch. #depression
203,neutral,Ask Tim Duncan about Kentucky - Antoine Walker. ✊🏾
204,negative,@SouthwestAir very poor customer service thru out each of my cxl flights😔 I should've flew @Delta
205,negative,"I've seen too many videos on the dog meat trade and animal testing lately. Humans are sick. Do your research, please 🐶🐱"
206,neutral,My face but with Ashley Graham's bodyy😩😭 https://t.co/jT0skWQvHk
207,positive,Losing weight is REAL. 😅😀#EnglishMonth#IFightAgainstModernSlavery#unitednations @ San Isidro… https://t.co/D9LDB8VhAq
208,negative,I can't even celebrate my wins or mourn my L's cause first test week is that busy 😕
209,neutral,Taken on Samsung Galaxy Note 7 🔥 @ Blue Pools https://t.co/El07mCYwJ1
210,positive,@BugsyBradshaw1 sad to say I am bradim the Tipp people will love to buy me a pint😄
211,negative,when you find out the initiative isn't even a thing 😧 #revenge
212,positive,📷 dailyartspace: Happy #NationalFastFoodDay  ‘Cheese Slice on garland’ by Eric Yahnker ... https://t.co/QYLrksRvcd
213,positive,which one would you prefer to listen to for a whole day? 😍🤘🏼; i could never choose #arianagrande #IntoYou #SideToSide #songs #Poll
214,neutral,"To my leftist ""friends"" 😂 #TGIF #DrainTheSwamp https://t.co/9Du2Jyhwfd"
215,negative,"@jimcramer We dont hav Obamacare but this piece was 👌🏼. I wish DT cud keep ins 4 all, but ⬆️competition so we're not the ones paying for it!"
216,negative,"@D_Stieber just block them... like the Fresh Prince of Bel Air sang,    🎤 'no need to argue, deplorables just don't understand.'"
217,negative,Distance makes the heart grow fonder but already heartbroken @kettlesyard shutting for 2 yr refurb on 21Jun; go now❤️ http://t.co/7HMmPRcJtz
218,negative,"So me and my mom were talking about highschool, I'm shy so she said that she thinks I'm gonna get bullied😒 #shy #me #mylife #moms #bullying"
219,positive,@USAirways YOU ARE THE BEST!!! YOU ARE AMAZING!!! FOLLOW ME PLEASE;)🙏🙏🙏
220,neutral,Up North for thanksgiving🦃 https://t.co/w7xRSN4lle
221,positive,I've won two free tickets to the private viewing of the Jackson Pollock exhibition @tateliverpool can't wait!!!!! 😊
222,positive,Omg I love Jill Scott why am I just now watching #ThankYouObama 😭
223,negative,Watching Kaleb eat a bologna and ketchup and it seriously has me wanting to throw up 😷
224,negative,Re-watching highlights from last night's #GOPDebate 😩really makes me cringe. All I can say is LOL 😐
225,positive,Amazing!!!! 😍🎨 @NationalGallery http://t.co/cOSlvmCHLh
226,positive,I don't know if I should watch and listen to the music video of La mordidito or just stare at the angelic ricky Martin 😍 damn
227,positive,@USAirways thanks for slowing the inbound plane down so that we didn't need to worry about 4438 EYW being Late Flight. Great holz ahead. Cheers! 😀
228,neutral,Didn't see Paul Anka on anyone's @GilmoreGirls #GilmoreGirlsTop4. What's up with that?! 🐶
229,negative,@jamescharles I'm sorry😕It's not their business-what kind of people are they to wish these things on you that are worse than animal testing
230,negative,@AmericanAir rebooked into a different airport. Throwing a wrench into plans 👀
231,positive,What better way to get creative inspiration than to go to the Museum ✨  @NationalGallery http://t.co/zvpmtSBVXy
232,negative,.@JoyAnnReid @JuddLegum  what is nuanced about white supremacy? zero. white supremacists trying to head fake non-bigots with false angst. 🙄
233,positive,Daddyyyy👅🙈💕#MPN #OneDirection https://t.co/NI5FQqH6PL
234,negative,#BB18 Michelle crying  again #shocking #bitter He's  just not that into you 😢#TeamNicole
235,negative,"@USAirways 5 hr flight delay and a delay when we land . Is that even real life ? Get me off this plane , I wanna go home 👠👠👠 (3 heel clicks)"
236,negative,@SouthwestAir want to pick up a customer from @SpiritAirlines sign me up 🙌😏
237,neutral,"Obama Admin Evicting #StandingRock #WaterProtectors, As Veterans Are Set To Arrive. #VeteranStandingRock 🇺🇸 #NoDAPL https://t.co/AQJEWfUrsT"
238,positive,Ricky Martin 😍
239,neutral,😐 “@JetBlue: Our fleet's on fleek. http://t.co/QavvlAXLkl”
240,positive,@priny_baby happppy happppyyyyyy happppppyyyyy haaapppyyyy birthday best friend!! Love you lots 💖💖💖💖💖💖💖🎉🎊 #chapter22 #bdaygirl  #love
241,negative,So angry I wanna cry😢😢😢
242,positive,Chanel Por Homme 😂 #ScreamQueens
243,positive,RT @SalMasekela: Straight Outta Compton commercial on Fox News. Well played. 🙌🏿 #GOPDebates
244,negative,Well stomach cramps did not make that spin class any easier. Why does my body hate digesting porridge so much 😩 #spinning #sulk
245,positive,.@HillaryClinton Visit us for #SmallBizSaturday and pick up our 1st #stillwithher tee unveiled at 12am!    🙌💋 https://t.co/XOAm8x6iRn
246,negative,She stole her speech just steel Michelle's dress.⚡T. Hilfiger: Any designer should be proud to dress Melania Trumphttps://t.co/NsvUOjfpjb
247,positive,NO ONE SAW THAT HAPPENING 😍 @LiamPayne #OneDirection https://t.co/E5V3v0PXTb
248,positive,not long till the blind spots exhibition! #jacksonpollock @tateliverpool 😍
249,positive,"My father made me feel special on valentines day😂..i was young as shit gettin candy, big teddy bears, cards wit money and roses💝"
250,positive,@lawson__lynch my kinda girl pleasing the dick right😍😏
251,negative,How a dad would feel knowing his daughter is getting dashed around for whines in the rave😭
252,negative,This @TrumpsRejects account is delicious! Nothing but deplorables who already feel betrayed by the Cheeto 😂😂😂😂
253,positive,"@JetBlue loved the service from the staff at Newark today. 

Good service goes along way.

I appreciate your preciation  

Nj ✈️Tampa 

🔵🔵🔵"
254,negative,"I feel exhausted ...\nI tried to do a good job, but apparently God does not see me right. I'm weary! I EXIST! 😟💔📢\n#exist #weary #misonorotta"
255,negative,So I just opened This message Brooke sent me got me I am weak as the fuck 😩 she is a fucking bully for no reason 😂😂😂😂😭💀
256,neutral,Give it a listen! Raw project from one of the realest 🙌🏽✊🏽 #blacklivesmatter  #unapologeticallyblack… https://t.co/tG3icSK1d0
257,positive,@NinaDavuluri We think it's a treat to have you onboard! Enjoy your flight. 💙
258,positive,@naenae_calhoun @Tayla_Gipson lmaooo all day everyday ‼️ Her cougar self got her lil cubs in check so it's only right 😊❤️❤️
259,negative,"RT @kristawelz: Raise your words, not your voice. It is rain 💧 that grows flowers 🌷, not thunder ⚡️. #edchat #GOPDebate #GOPDbate #edcampgl…"
260,negative,Watching this episode of #ScreamQueens when I'm haemophobic is so torturous. So much blood 😢😢😢
261,positive,#fbf to shaking my bon-bon 🍑with the legend @ricky_martin a few months back. I'll be back with… https://t.co/oQOqJcLg1l
262,neutral,@theskimm always gives the best recaps! This one for the #GOPDebate just made my day 😂 http://t.co/4OFFy9m0Go
263,negative,I dread math 😴
264,neutral,@USAirways of course weather was a joke 43 beats 5 degrees in PHL! ⛄️☀️
265,negative,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️
266,negative,If anybody needs me I'll be drowning my blues in a sea of whiskey 🍻
267,positive,@VirginAmerica Have a great week 🌞✈
268,positive,What if.... the Metro LRT went over the Walterdale?!?! 😂 #yeg 
